Domain                                                 ,Associated Domains
ca-edg-yyz12-1-ac-corpa-nvr01.corp.google.com          ,ca-edg-yyz12-1-ac-corpa-nvr01.corp.google.com
us-edg-lga34-2-ac-corpa-nvr01.corp.google.com          ,us-edg-lga34-2-ac-corpa-nvr01.corp.google.com
us-cs-hio03-1-xx-corpa-nvr02.corp.google.com           ,us-cs-hio03-1-xx-corpa-nvr02.corp.google.com
br-edg-rio09-1-ac-corpa-nvr01.corp.google.com          ,br-edg-rio09-1-ac-corpa-nvr01.corp.google.com
br-edg-gru06-1-ac-corpa-nvr01.corp.google.com          ,br-edg-gru06-1-ac-corpa-nvr01.corp.google.com
gb-cs-lhr65-1-xx-corpa-nvr02.corp.google.com           ,gb-cs-lhr65-1-xx-corpa-nvr02.corp.google.com
us-cs-hio03-1-xx-corpa-nvr01.corp.google.com           ,us-cs-hio03-1-xx-corpa-nvr01.corp.google.com
us-edg-las15-1-ac-corpa-nvr01.corp.google.com          ,us-edg-las15-1-ac-corpa-nvr01.corp.google.com
br-edg-gru14-1-ac-corpa-nvr01.corp.google.com          ,br-edg-gru14-1-ac-corpa-nvr01.corp.google.com
us-cs-dfw36-5-xx-corpa-nvr01.corp.google.com           ,us-cs-dfw36-5-xx-corpa-nvr01.corp.google.com
us-edg-atl14-1-ac-corpa-nvr01.corp.google.com          ,us-edg-atl14-1-ac-corpa-nvr01.corp.google.com
ca-edg-yyz10-4-ac-corpa-nvr01.corp.google.com          ,ca-edg-yyz10-4-ac-corpa-nvr01.corp.google.com
us-edg-nuq04-1-ac-corpa-nvr01.corp.google.com          ,us-edg-nuq04-1-ac-corpa-nvr01.corp.google.com
br-edg-rio07-1-ac-corpa-nvr01.corp.google.com          ,br-edg-rio07-1-ac-corpa-nvr01.corp.google.com
us-cs-iad69-1-xx-corpa-nvr02.corp.google.com           ,us-cs-iad69-1-xx-corpa-nvr02.corp.google.com
us-cs-iad69-1-xx-corpa-nvr01.corp.google.com           ,us-cs-iad69-1-xx-corpa-nvr01.corp.google.com
us-cs-cbf65-1-xx-corpa-nvr02.corp.google.com           ,us-cs-cbf65-1-xx-corpa-nvr02.corp.google.com
de-cs-fra56-1-xx-corpa-nvr02.corp.google.com           ,de-cs-fra56-1-xx-corpa-nvr02.corp.google.com
ca-cs-yyz18-1-xx-corpa-nvr01.corp.google.com           ,ca-cs-yyz18-1-xx-corpa-nvr01.corp.google.com
uk-edg-lhr25-1-ac-corpa-nvr01.corp.google.com          ,uk-edg-lhr25-1-ac-corpa-nvr01.corp.google.com
us-yti-atl41-1-kn-corpa-nvr01.corp.google.com          ,us-yti-atl41-1-kn-corpa-nvr01.corp.google.com
us-cs-iad67-2-xx-corpa-nvr02.corp.google.com           ,us-cs-iad67-2-xx-corpa-nvr02.corp.google.com
us-cs-cbf65-1-xx-corpa-nvr01.corp.google.com           ,us-cs-cbf65-1-xx-corpa-nvr01.corp.google.com
us-yti-atl41-1-kn-corpa-nvr02.corp.google.com          ,us-yti-atl41-1-kn-corpa-nvr02.corp.google.com
de-cs-fra56-1-xx-corpa-nvr01.corp.google.com           ,de-cs-fra56-1-xx-corpa-nvr01.corp.google.com
gb-cs-lhr65-1-xx-corpa-nvr01.corp.google.com           ,gb-cs-lhr65-1-xx-corpa-nvr01.corp.google.com
ca-cs-yyz18-1-xx-corpa-nvr02.corp.google.com           ,ca-cs-yyz18-1-xx-corpa-nvr02.corp.google.com
us-cs-iad67-2-xx-corpa-nvr01.corp.google.com           ,us-cs-iad67-2-xx-corpa-nvr01.corp.google.com
npja9.mtv.corp.google.com                              ,npja9.mtv.corp.google.com
npja8.mtv.corp.google.com                              ,npja8.mtv.corp.google.com
npja7.mtv.corp.google.com                              ,npja7.mtv.corp.google.com
npja6.mtv.corp.google.com                              ,npja6.mtv.corp.google.com
npja5.mtv.corp.google.com                              ,npja5.mtv.corp.google.com
npja4.mtv.corp.google.com                              ,npja4.mtv.corp.google.com
