starting the dnsdmpstr:

false
reversedns


rate-limited-proxy-108-177-69-20.google.com,108.177.69.20
rate-limited-proxy-66-249-89-20.google.com,66.249.89.20
rate-limited-proxy-72-14-199-20.google.com,72.14.199.20
google-proxy-74-125-210-120.google.com,74.125.210.120
rate-limited-proxy-74-125-150-120.google.com,74.125.150.120
rate-limited-proxy-108-177-70-120.google.com,108.177.70.120
google-proxy-66-249-80-120.google.com,66.249.80.120
google-proxy-74-125-211-120.google.com,74.125.211.120
rate-limited-proxy-192-178-21-120.google.com,192.178.21.120
rate-limited-proxy-74-125-151-120.google.com,74.125.151.120
rate-limited-proxy-108-177-71-120.google.com,108.177.71.120
google-proxy-66-249-81-120.google.com,66.249.81.120
google-proxy-192-178-12-120.google.com,192.178.12.120
google-proxy-74-125-212-120.google.com,74.125.212.120
google-proxy-142-250-32-120.google.com,142.250.32.120
google-proxy-64-233-172-120.google.com,64.233.172.120
google-proxy-66-249-82-120.google.com,66.249.82.120
rate-limited-proxy-66-249-92-120.google.com,66.249.92.120
google-proxy-192-178-13-120.google.com,192.178.13.120
google-proxy-74-125-213-120.google.com,74.125.213.120
rate-limited-proxy-108-177-73-120.google.com,108.177.73.120
google-proxy-64-233-173-120.google.com,64.233.173.120
google-proxy-66-249-83-120.google.com,66.249.83.120
google-proxy-66-249-93-120.google.com,66.249.93.120
google-proxy-192-178-14-120.google.com,192.178.14.120
rate-limited-proxy-108-177-64-120.google.com,108.177.64.120
rate-limited-proxy-108-177-74-120.google.com,108.177.74.120
google-proxy-66-249-84-120.google.com,66.249.84.120
rate-limited-proxy-108-177-65-120.google.com,108.177.65.120
rate-limited-proxy-108-177-75-120.google.com,108.177.75.120
rate-limited-proxy-74-125-216-120.google.com,74.125.216.120
rate-limited-proxy-108-177-66-120.google.com,108.177.66.120
rate-limited-proxy-108-177-76-120.google.com,108.177.76.120
google-proxy-66-102-7-120.google.com,66.102.7.120
rate-limited-proxy-192-178-17-120.google.com,192.178.17.120
rate-limited-proxy-108-177-67-120.google.com,108.177.67.120
rate-limited-proxy-108-177-77-120.google.com,108.177.77.120
google-proxy-66-102-8-120.google.com,66.102.8.120
rate-limited-proxy-74-125-218-120.google.com,74.125.218.120
rate-limited-proxy-203-208-38-120.google.com,203.208.38.120
rate-limited-proxy-209-85-238-120.google.com,209.85.238.120
rate-limited-proxy-74-125-148-120.google.com,74.125.148.120
rate-limited-proxy-108-177-68-120.google.com,108.177.68.120
rate-limited-proxy-142-250-88-120.google.com,142.250.88.120
google-proxy-66-249-88-120.google.com,66.249.88.120
google-proxy-192-178-9-120.google.com,192.178.9.120
google-proxy-74-125-209-120.google.com,74.125.209.120
rate-limited-proxy-74-125-219-120.google.com,74.125.219.120
rate-limited-proxy-108-177-69-120.google.com,108.177.69.120
rate-limited-proxy-108-177-79-120.google.com,108.177.79.120
rate-limited-proxy-66-249-89-120.google.com,66.249.89.120
mail-pg0-f120.google.com,74.125.83.120
mail-oa1-f120.google.com,209.85.160.120
mail-ua1-f120.google.com,209.85.222.120
mail-ed1-f120.google.com,209.85.208.120
mail-lf1-f120.google.com,209.85.167.120
mail-ej1-f120.google.com,209.85.218.120
mail-io1-f120.google.com,209.85.166.120
mail-oo1-f120.google.com,209.85.161.120
mail-wr1-f120.google.com,209.85.221.120
mail-vs1-f120.google.com,209.85.217.120
mail-qv1-f120.google.com,209.85.219.120
mail-sor-f120.google.com,209.85.220.120
google-proxy-74-125-210-220.google.com,74.125.210.220
rate-limited-proxy-74-125-150-220.google.com,74.125.150.220
rate-limited-proxy-108-177-70-220.google.com,108.177.70.220
rate-limited-proxy-66-249-90-220.google.com,66.249.90.220
rate-limited-proxy-74-125-151-220.google.com,74.125.151.220
rate-limited-proxy-108-177-71-220.google.com,108.177.71.220
rate-limited-proxy-142-250-91-220.google.com,142.250.91.220
rate-limited-proxy-66-249-91-220.google.com,66.249.91.220
google-proxy-192-178-12-220.google.com,192.178.12.220
google-proxy-74-125-212-220.google.com,74.125.212.220
google-proxy-142-250-32-220.google.com,142.250.32.220
rate-limited-proxy-108-177-72-220.google.com,108.177.72.220
google-proxy-66-249-82-220.google.com,66.249.82.220
rate-limited-proxy-66-249-92-220.google.com,66.249.92.220
rate-limited-proxy-108-177-73-220.google.com,108.177.73.220
google-proxy-66-249-83-220.google.com,66.249.83.220
google-proxy-66-249-93-220.google.com,66.249.93.220
google-proxy-192-178-14-220.google.com,192.178.14.220
google-proxy-74-125-214-220.google.com,74.125.214.220
rate-limited-proxy-108-177-64-220.google.com,108.177.64.220
google-proxy-66-249-84-220.google.com,66.249.84.220
rate-limited-proxy-108-177-75-220.google.com,108.177.75.220
google-proxy-66-102-6-220.google.com,66.102.6.220
rate-limited-proxy-108-177-66-220.google.com,108.177.66.220
google-proxy-66-102-7-220.google.com,66.102.7.220
rate-limited-proxy-74-125-217-220.google.com,74.125.217.220
rate-limited-proxy-66-249-87-220.google.com,66.249.87.220
google-proxy-66-102-8-220.google.com,66.102.8.220
google-proxy-74-125-208-220.google.com,74.125.208.220
rate-limited-proxy-74-125-218-220.google.com,74.125.218.220
rate-limited-proxy-203-208-38-220.google.com,203.208.38.220
rate-limited-proxy-209-85-238-220.google.com,209.85.238.220
rate-limited-proxy-108-177-78-220.google.com,108.177.78.220
rate-limited-proxy-142-250-88-220.google.com,142.250.88.220
google-proxy-66-249-88-220.google.com,66.249.88.220
google-proxy-74-125-209-220.google.com,74.125.209.220
rate-limited-proxy-74-125-219-220.google.com,74.125.219.220
rate-limited-proxy-74-125-149-220.google.com,74.125.149.220
rate-limited-proxy-72-14-199-220.google.com,72.14.199.220
mail-pf0-f220.google.com,209.85.192.220
mail-io0-f220.google.com,209.85.223.220
mail-ot0-f220.google.com,74.125.82.220
mail-pg1-f220.google.com,209.85.215.220
mail-oi1-f220.google.com,209.85.167.220
mail-lj1-f220.google.com,209.85.208.220
mail-qk1-f220.google.com,209.85.222.220
mail-vk1-f220.google.com,209.85.221.220
mail-qt1-f220.google.com,209.85.160.220
mail-yw1-f220.google.com,209.85.128.220
cache20.google.com,217.9.232.149
mail-vk0-f20.google.com,209.85.213.20
mail-wm0-f20.google.com,74.125.82.20
mail-oa1-f20.google.com,209.85.160.20
mail-ua1-f20.google.com,209.85.222.20
mail-ed1-f20.google.com,209.85.208.20
mail-lf1-f20.google.com,209.85.167.20
mail-pj1-f20.google.com,209.85.216.20
mail-oo1-f20.google.com,209.85.161.20
mail-wr1-f20.google.com,209.85.221.20
mail-qv1-f20.google.com,209.85.219.20
google-proxy-74-125-210-30.google.com,74.125.210.30
google-proxy-66-249-80-30.google.com,66.249.80.30
rate-limited-proxy-66-249-90-30.google.com,66.249.90.30
google-proxy-74-125-211-30.google.com,74.125.211.30
rate-limited-proxy-192-178-21-30.google.com,192.178.21.30
rate-limited-proxy-74-125-151-30.google.com,74.125.151.30
rate-limited-proxy-108-177-71-30.google.com,108.177.71.30
google-proxy-142-250-32-30.google.com,142.250.32.30
rate-limited-proxy-108-177-72-30.google.com,108.177.72.30
google-proxy-64-233-172-30.google.com,64.233.172.30
google-proxy-66-249-82-30.google.com,66.249.82.30
google-proxy-64-233-173-30.google.com,64.233.173.30
google-proxy-66-249-83-30.google.com,66.249.83.30
google-proxy-66-249-93-30.google.com,66.249.93.30
google-proxy-192-178-14-30.google.com,192.178.14.30
google-proxy-66-249-84-30.google.com,66.249.84.30
